Gene Number,Protein ID,Protein Description,COG Category,eggNOG HMM Description,Goterms,Kegg Ko,Localization,Protein Length,Biller et al. 2014 Science paper Table S2 MED4 vesicle detected proteins,Blast % Identity Uniprot,NCBI reference sequence,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Did we detect the same vesicle proteins as in Table S2 from homologus MED4 Biller et al. Science 2014,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number specs adjusted (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number of specs adjusted normalized to Hi3 (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle.biovolume (Abacus 9312 Vesicle),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells trypsin),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells gluc)
PMT9312_1677,Q318F7,Q318F7_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1677 PE=4 SV=1,S,,,,Unknown,88,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,2,0.03,2.86E-10,1.29E-09
PMT9312_0820,Q31B65,Q31B65_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0820 PE=4 SV=1,S,,,,Cytoplasmic,98,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
PMT9312_0988,Q31AP7,Q31AP7_PROM9 ATP synthase protein 8-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0988 PE=4 SV=1,S,,,,Unknown,133,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
PMT9312_1141,Q31A95,Q31A95_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1141 PE=4 SV=1,S,,,,Cytoplasmic,288,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
PMT9312_1327,Q319Q9,Q319Q9_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1327 PE=4 SV=1,S,,,,Cytoplasmic,318,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
PMT9312_1773,Q317W1,Q317W1_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1773 PE=4 SV=1,S,,,,Unknown,50,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
PMT9312_1900,A7FAK0,A7FAK0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1900 PE=4 SV=1,S,,,,Unknown,54,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
speA,Q31DD8,SPEA_PROM9 Biosynthetic arginine decarboxylase OS=Prochlorococcus marinus (strain MIT 9312) GN=speA PE=3 SV=1,E,Catalyzes the biosynthesis of agmatine from arginine (By similarity),,K01585,Unknown,648,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
pyrD,Q31CY2,Q31CY2_PROM9 Dihydroorotate dehydrogenase (quinone) OS=Prochlorococcus marinus (strain MIT 9312) GN=pyrD PE=3 SV=1,F,Catalyzes the conversion of dihydroorotate to orotate with quinone as electron acceptor (By similarity),"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",K00254,CytoplasmicMembrane,389,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
PMT9312_0724,Q31BG1,"Q31BG1_PROM9 Multidrug efflux transporter, MFS family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0724 PE=4 SV=1",G,Major Facilitator superfamily,,,CytoplasmicMembrane,419,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
pebB,Q318F0,PEBB_PROM9 Phycoerythrobilin:ferredoxin oxidoreductase OS=Prochlorococcus marinus (strain MIT 9312) GN=pebB PE=3 SV=1,H,"Catalyzes the two-electron reduction of the C2 and C3(1) diene system of 15,16-dihydrobiliverdin (By similarity)",,K05370,Unknown,253,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
PMT9312_1539,Q318U6,Q318U6_PROM9 NAD+ synthetase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1539 PE=3 SV=1,H,NAD synthetase,,"K01916,K01950",Unknown,565,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
PMT9312_0116,Q31D67,Q31D67_PROM9 Uroporphyrinogen-III synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0116 PE=4 SV=1,H,synthase (EC 4.2.1.75),,K01719,Cytoplasmic,265,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
rbfA,Q31D68,RBFA_PROM9 Ribosome-binding factor A OS=Prochlorococcus marinus (strain MIT 9312) GN=rbfA PE=3 SV=1,J,Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Essential for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K02834,Cytoplasmic,130,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
recO,Q31CE0,Q31CE0_PROM9 DNA repair protein RecO OS=Prochlorococcus marinus (strain MIT 9312) GN=recO PE=3 SV=1,L,Involved in DNA repair and RecF pathway recombination (By similarity),,K03584,Unknown,261,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
ddl,Q319I3,DDL_PROM9 D-alanine--D-alanine ligase OS=Prochlorococcus marinus (strain MIT 9312) GN=ddl PE=3 SV=1,M,Cell wall formation (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01921,Cytoplasmic,355,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
PMT9312_0629,Q31BQ5,Q31BQ5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0629 PE=4 SV=1,S,,,,Cytoplasmic,85,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
PMT9312_0353,Q31CI1,Q31CI1_PROM9 Putative bacterioferritin comigratory protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0353 PE=4 SV=1,O,bacterioferritin comigratory protein,,K03564,Cytoplasmic,149,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
PMT9312_0278,Q31CQ6,Q31CQ6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0278 PE=3 SV=1,S,glycine cleavage,,"K00605,K06980",Cytoplasmic,278,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
PMT9312_1366,Q319L9,Q319L9_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1366 PE=4 SV=1,S,Protein of unknown function (DUF3611),,,CytoplasmicMembrane,177,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,,,,
PMT9312_1162,Q31A74,Q31A74_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1162 PE=4 SV=1,S,,,,Cytoplasmic,217,,,,,,,,,2,0.04,3.91E-10,1.77E-09,4.67,0.07,6.67E-10,3.02E-09
PMT9312_0569,Q31BW5,Q31BW5_PROM9 Dihydroorotase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0569 PE=3 SV=1,F,dihydroorotase,,K01465,Cytoplasmic,349,,,,,,,,,2,0.04,3.91E-10,1.77E-09,4.33,0.07,6.19E-10,2.80E-09
PMT9312_0925,Q31AW0,Q31AW0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0925 PE=4 SV=1,S,Uncharacterized protein conserved in bacteria (DUF2237),,K09966,Unknown,127,,,,,,,,,2,0.04,3.91E-10,1.77E-09,4.33,0.07,6.19E-10,2.80E-09
PMT9312_0531,Q31C03,Q31C03_PROM9 Creatininase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0531 PE=4 SV=1,S,Creatininase,,K01470,Unknown,262,,,,,,,,,2,0.04,3.91E-10,1.77E-09,4,0.06,5.71E-10,2.59E-09
PMT9312_0309,Q31CM5,Q31CM5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0309 PE=4 SV=1,S,,,,Unknown,59,,,,,,,,,2,0.04,3.91E-10,1.77E-09,2.67,0.04,3.81E-10,1.72E-09
PMT9312_0871,Q31B14,Q31B14_PROM9 Protein translocase subunit secF OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0871 PE=4 SV=1,U,Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity),"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",K03074,CytoplasmicMembrane,304,,,,,,,,,2,0.04,3.91E-10,1.77E-09,2.67,0.04,3.81E-10,1.72E-09
thf1,Q31BD6,THF1_PROM9 Protein Thf1 OS=Prochlorococcus marinus (strain MIT 9312) GN=thf1 PE=3 SV=2,D,May be involved in photosynthetic membrane biogenesis (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009523,GO:0009579,GO:0016020,GO:0030075,GO:0030096,GO:0032991,GO:0034357,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944",,Cytoplasmic,201,,,,,,,,,2,0.04,3.91E-10,1.77E-09,2.33,0.04,3.33E-10,1.51E-09
PMT9312_0190,Q31CZ3,Q31CZ3_PROM9 Nicotinate-nucleotide pyrophosphorylase (Carboxylating) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0190 PE=3 SV=1,H,nicotinate-nucleotide pyrophosphorylase,,K00767,Cytoplasmic,288,,,,,,,,,2,0.04,3.91E-10,1.77E-09,2,0.03,2.86E-10,1.29E-09
PMT9312_0034,Q31DF0,Q31DF0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0034 PE=4 SV=1,S,,,,Unknown,65,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_0819,Q31B66,Q31B66_PROM9 S1 RNA binding domain-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0819 PE=4 SV=1,S,,,,Unknown,113,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_0962,Q31AS3,Q31AS3_PROM9 Nucleoside diphosphate kinase-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0962 PE=4 SV=1,S,,,,CytoplasmicMembrane,122,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_1353,Q319N2,Q319N2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1353 PE=4 SV=1,S,,,,Cytoplasmic,519,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_1510,Q318X5,Q318X5_PROM9 High light inducible protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1510 PE=4 SV=1,S,,,,Unknown,69,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_1834,A7FAD6,A7FAD6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1834 PE=4 SV=1,S,,,,Unknown,59,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_0445,Q31C89,Q31C89_PROM9 Cytochrome c oxidase subunit 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0445 PE=3 SV=1,C,Subunits I and II form the functional core of the enzyme complex. Electrons originating in cytochrome c are transferred via heme a and Cu(A) to the binuclear center formed by heme a3 and Cu(B) (By similarity),"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",K02275,CytoplasmicMembrane,267,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_1282,Q319V4,Q319V4_PROM9 Chorismate mutase AroH OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1282 PE=4 SV=1,E,chorismate mutase,,K06208,Cytoplasmic,123,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_1779,Q317V5,Q317V5_PROM9 Agmatinase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1779 PE=3 SV=1,E,ec 3.5.3.11,,K01480,Cytoplasmic,293,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_0304,Q31CN0,"Q31CN0_PROM9 Selenide, water dikinase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0304 PE=4 SV=1",E,"Selenide,water dikinase",,K01008,Unknown,723,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_1051,Q31AI5,Q31AI5_PROM9 Transglutaminase-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1051 PE=4 SV=1,E,Transglutaminase-like,,,Cytoplasmic,285,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_0316,Q31CL8,"Q31CL8_PROM9 Carbohydrate kinase, FGGY family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0316 PE=4 SV=1",G,carbohydrate kinase FGGY,,K00854,Unknown,409,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
panB,Q319H9,PANB_PROM9 3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=panB PE=3 SV=1,H,"Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is tranferred onto alpha-ketoisovalerate to form ketopantoate (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00606,Cytoplasmic,257,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_0618,Q31BR6,Q31BR6_PROM9 Trans-hexaprenyltranstransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0618 PE=3 SV=1,H,solanesyl diphosphate synthase,,K05356,Cytoplasmic,323,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
prmA,Q319D4,PRMA_PROM9 Ribosomal protein L11 methyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=prmA PE=3 SV=1,J,Methylates ribosomal protein L11 (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K02687,Cytoplasmic,303,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
trmJ,Q31AG9,Q31AG9_PROM9 tRNA (cytidine/uridine-2_-O-)-methyltransferase TrmJ OS=Prochlorococcus marinus (strain MIT 9312) GN=trmJ PE=4 SV=1,J,"RNA methyltransferase, TrmH family, group 1",,K02533,Cytoplasmic,249,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_0338,Q31CJ6,Q31CJ6_PROM9 GCN5-related N-acetyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0338 PE=4 SV=1,K,GCN5-related N-acetyltransferase,,K03789,Unknown,296,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
mfd,Q31AS4,Q31AS4_PROM9 Transcription-repair-coupling factor OS=Prochlorococcus marinus (strain MIT 9312) GN=mfd PE=3 SV=1,L,coupling factor,,K03723,Cytoplasmic,1174,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_0054,Q31DD0,Q31DD0_PROM9 Putative RNA methylase family UPF0020 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0054 PE=3 SV=1,L,RNA methylase family UPF0020,,K07444,Cytoplasmic,374,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
murF,Q31BS4,Q31BS4_PROM9 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Prochlorococcus marinus (strain MIT 9312) GN=murF PE=3 SV=1,M,"Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01929,Cytoplasmic,457,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_0635,Q31BP9,"Q31BP9_PROM9 Small mechanosensitive ion channel, MscS family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0635 PE=4 SV=1",M,mechanosensitive ion channel (MscS) family,,K16052,CytoplasmicMembrane,343,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_0513,Q31C21,Q31C21_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0513 PE=3 SV=1,P,arsenate reductase,,K00537,Cytoplasmic,118,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_1241,Q319Z5,Q319Z5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1241 PE=4 SV=1,S,Alpha Beta Hydrolase,,,Cytoplasmic,362,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_0491,Q31C43,Q31C43_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0491 PE=4 SV=1,S,"cobalamin synthesis protein, P47K",,,Cytoplasmic,362,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_0879,Q31B06,Q31B06_PROM9 Generic methyl-transferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0879 PE=4 SV=1,S,SAM (And some other nucleotide) binding motif Generic methyl-transferase,,,Cytoplasmic,351,,,,,,,,,2,0.04,3.91E-10,1.77E-09,,,,
PMT9312_0448,Q31C86,Q31C86_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0448 PE=4 SV=1,P,ABC transporter,,K01990,CytoplasmicMembrane,338,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,5.67,0.09,8.10E-10,3.66E-09
PMT9312_1253,Q319Y3,"Q319Y3_PROM9 Acetolactate synthase, small subunit OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1253 PE=4 SV=1",E,"Acetolactate synthase, small subunit",,K01653,Cytoplasmic,174,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,5.33,0.08,7.62E-10,3.45E-09
PMT9312_0410,Q31CC4,Q31CC4_PROM9 Putative L-cysteine/cystine lyase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0410 PE=4 SV=1,E,L-cysteine cystine lyase,,K11325,Cytoplasmic,391,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,2.33,0.04,3.33E-10,1.51E-09
PMT9312_0305,Q31CM9,Q31CM9_PROM9 tRNA nucleotidyltransferase/poly(A) polymerase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0305 PE=3 SV=1,J,polyA polymerase,,"K00970,K00974",Cytoplasmic,415,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,2.33,0.04,3.33E-10,1.51E-09
PMT9312_0621,Q31BR3,"Q31BR3_PROM9 DNA polymerase III, epsilon subunit OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0621 PE=4 SV=1",L,"DNA polymerase III, epsilon subunit",,K02342,Cytoplasmic,259,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,2.33,0.04,3.33E-10,1.51E-09
PMT9312_1404,Q319I1,Q319I1_PROM9 Cell division protein FtsQ OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1404 PE=4 SV=1,D,Cell Division,,,Cytoplasmic,242,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,1.67,0.03,2.38E-10,1.08E-09
PMT9312_0164,Q31D19,Q31D19_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0164 PE=4 SV=1,S,,,,Cytoplasmic,486,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_0740,Q31BE5,Q31BE5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0740 PE=4 SV=1,S,,,,Cytoplasmic,65,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_0865,Q31B20,Q31B20_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0865 PE=4 SV=1,S,,,,Unknown,110,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_1092,Q31AE4,Q31AE4_PROM9 4-alpha-glucanotransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1092 PE=3 SV=1,S,,,,Cytoplasmic,506,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
Randomized,RAND1_Q31DG1_642,Randomized Protein Sequence,S,,,,,340,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_0053,Q31DD1,Q31DD1_PROM9 Aldo/keto reductase family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0053 PE=4 SV=1,C,aldo keto reductase,,K05275,Cytoplasmic,327,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_0151,Q31D32,Q31D32_PROM9 NADH dehydrogenase subunit L OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0151 PE=4 SV=1,C,NAD(P)H-quinone oxidoreductase subunit F,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",K05577,CytoplasmicMembrane,673,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
ppa,Q31C22,Q31C22_PROM9 Inorganic pyrophosphatase OS=Prochlorococcus marinus (strain MIT 9312) GN=ppa PE=3 SV=1,C,Pyrophosphate phospho-hydrolase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01507,Cytoplasmic,184,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_1752,Q317Y2,Q317Y2_PROM9 Amidase enhancer-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1752 PE=4 SV=1,D,Amidase enhancer,"GO:0005575,GO:0005623,GO:0030288,GO:0030312,GO:0030313,GO:0031975,GO:0042597,GO:0044462,GO:0044464,GO:0071944",,OuterMembrane,517,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_1060,Q31AH6,"Q31AH6_PROM9 ABC transporter, substrate binding protein, possibly oligopeptides OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1060 PE=4 SV=1",E,"ABC transporter, substrate binding protein, possibly oligopeptides",,K02035,Periplasmic,523,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_1348,Q319N7,Q319N7_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1348 PE=4 SV=1,G,Xylose Isomerase Domain-Containing protein,,,Cytoplasmic,271,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
menG,Q31CA4,Q31CA4_PROM9 Demethylmenaquinone methyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=menG PE=3 SV=1,H,Methyltransferase required for the conversion of demethylmenaquinone (DMKH2) to menaquinone (MKH2) (By similarity),,K03183,Cytoplasmic,233,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_0939,Q31AU6,Q31AU6_PROM9 Putative tRNA (cytidine(34)-2_-O)-methyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0939 PE=3 SV=1,J,Could methylate the ribose at the nucleotide 34 wobble position in tRNA (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K03216,Unknown,160,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_1714,Q318C0,Q318C0_PROM9 Rod shape-determining protein MreC OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1714 PE=4 SV=1,M,Rod shape-determining protein MreC,,K03570,CytoplasmicMembrane,250,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_1403,Q319I2,Q319I2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1403 PE=4 SV=1,S,,,,Unknown,136,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_0125,Q31D58,Q31D58_PROM9 Heat shock protein DnaJ-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0125 PE=4 SV=1,O,heat shock protein,,K03686,Cytoplasmic,225,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_0568,Q31BW6,Q31BW6_PROM9 K+-dependent Na+/Ca+ exchanger related-protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0568 PE=4 SV=1,P,K -dependent Na Ca exchanger,,K07301,CytoplasmicMembrane,359,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_1219,Q31A17,"Q31A17_PROM9 Mn2+ and Fe2+ transporter, NRAMP family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1219 PE=3 SV=1",P,"Mn2 and fe2 transporter, nramp family",,,CytoplasmicMembrane,434,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_1082,Q31AF4,Q31AF4_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1082 PE=4 SV=1,S,Acid phosphatase vanadium-dependent haloperoxidase related,,K09775,CytoplasmicMembrane,159,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_1009,Q31AM6,Q31AM6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1009 PE=4 SV=1,S,Inherit from COG: Hydrolase,,,Unknown,238,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_0737,Q31BE8,Q31BE8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0737 PE=4 SV=1,S,protein conserved in bacteria,,,Cytoplasmic,439,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
PMT9312_1498,Q318Y7,Q318Y7_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1498 PE=4 SV=1,S,Protein of unknown function (DUF1330),,,Unknown,113,,,,,,,,,1.67,0.03,3.26E-10,1.48E-09,,,,
